"country","events","users","language"
"United States",20656039,613149,"JavaScript"
"Germany",3644792,97939,"JavaScript"
"France",3068284,82747,"JavaScript"
"China",2579044,114921,"JavaScript"
"Canada",2137705,63996,"JavaScript"
"Japan",2055325,59791,"JavaScript"
"United Kingdom",1875115,65724,"Ruby"
"Russia",1587912,54708,"JavaScript"
"Australia",1485915,45196,"JavaScript"
"El Salvador",1481045,41966,"JavaScript"
"India",1337170,71606,"JavaScript"
"Brazil",1056338,42325,"JavaScript"
"Spain",1009089,26824,"JavaScript"
"Sweden",940712,30444,"JavaScript"
"Netherlands",887522,24461,"JavaScript"
"Mexico",805728,37621,"JavaScript"
"Switzerland",804555,17599,"JavaScript"
"Italy",747920,23102,"JavaScript"
"Poland",722757,23907,"JavaScript"
"Ukraine",593210,20256,"JavaScript"
"Norway",577519,16552,"JavaScript"
"Finland",507260,13313,"JavaScript"
"New Zealand",503949,13388,"JavaScript"
"Czech Republic",502115,12175,"JavaScript"
"Taiwan",484411,17026,"JavaScript"
"Austria",476519,12873,"JavaScript"
"Denmark",471590,14357,"JavaScript"
"Belgium",459543,13400,"JavaScript"
"Argentina",367151,12213,"JavaScript"
"Portugal",354236,12696,"JavaScript"
"South Africa",323209,10940,"JavaScript"
"Chile",321582,12358,"JavaScript"
"Romania",307107,9497,"JavaScript"
"Turkey",288507,13631,"JavaScript"
"Philippines",283125,12688,"JavaScript"
"Ireland",268254,9884,"JavaScript"
"Singapore",257452,10293,"JavaScript"
"Indonesia",248797,11771,"JavaScript"
"Israel",244296,6890,"JavaScript"
"Venezuela",225692,8608,"JavaScript"
"Hungary",224775,7366,"JavaScript"
"Belarus",222909,7806,"JavaScript"
"Bulgaria",204842,6591,"JavaScript"
"Hong Kong",188249,6009,"JavaScript"
"Greece",186574,6968,"JavaScript"
"South Korea",157351,6556,"JavaScript"
"Thailand",117282,5044,"JavaScript"
"Croatia",117092,3620,"JavaScript"
"Uruguay",107635,4618,"JavaScript"
"Estonia",103772,3041,"JavaScript"
"Vietnam",100222,4184,"JavaScript"
"Costa Rica",100189,3048,"JavaScript"
"Slovenia",96070,2729,"JavaScript"
"Peru",95776,3525,"JavaScript"
"Malaysia",95711,3758,"JavaScript"
"Colombia",91799,3644,"JavaScript"
"Pakistan",90613,6085,"JavaScript"
"Lithuania",87170,3141,"JavaScript"
"Cuba",86322,4498,"JavaScript"
"Slovakia",84944,2938,"JavaScript"
"Latvia",84198,3095,"JavaScript"
"Iran",79665,4294,"JavaScript"
"Sri Lanka",73770,2112,"Java"
"Serbia",64677,3025,"JavaScript"
"Egypt",57463,3223,"JavaScript"
"Paraguay",56780,2540,"JavaScript"
"Kenya",52149,2066,"JavaScript"
"Bangladesh",48391,3127,"JavaScript"
"Iceland",36441,1731,"JavaScript"
"Macedonia",32662,869,"JavaScript"
"Puerto Rico",29663,813,"JavaScript"
"Kazakhstan",25524,1251,"JavaScript"
"Nepal",25137,1539,"JavaScript"
"Luxembourg",22424,1048,"JavaScript"
"Moldova",21748,920,"JavaScript"
"Ghana",19305,913,"JavaScript"
"Ecuador",19274,1048,"JavaScript"
"Nicaragua",18209,846,"Java"
"Saudi Arabia",17661,676,"JavaScript"
"Sierra Leone",17533,654,"JavaScript"
"Morocco",17147,1088,"JavaScript"
"Georgia",16789,625,"JavaScript"
"Tunisia",16015,1210,"JavaScript"
"Nigeria",15999,959,"JavaScript"
"United Arab Emirates",15698,788,"JavaScript"
"Dominican Republic",14438,831,"JavaScript"
"Suriname",14350,403,"JavaScript"
"Algeria",13862,681,"PHP"
"Cambodia",13626,556,"JavaScript"
"Bolivia",12749,663,"JavaScript"
"Bosnia and Herzegovina",12601,606,"JavaScript"
"Honduras",12270,509,"JavaScript"
"Cyprus",12068,633,"JavaScript"
"Lebanon",11958,588,"JavaScript"
"Guatemala",11906,948,"JavaScript"
"Armenia",11543,397,"JavaScript"
"Uganda",10604,484,"JavaScript"
"Benin",9951,560,"Java"
"Syria",9939,308,"JavaScript"
"Kyrgyzstan",9444,492,"JavaScript"
"Malta",9098,500,"JavaScript"
"Jordan",7503,463,"JavaScript"
"Jamaica",7441,382,"JavaScript"
"Myanmar",7353,494,"JavaScript"
"Seychelles",7099,122,"JavaScript"
"Uzbekistan",6624,401,"JavaScript"
"Saint Helena",6336,326,"JavaScript"
"Panama",6329,308,"JavaScript"
"Rwanda",6289,88,"JavaScript"
"Malawi",6055,54,"JavaScript"
"Mongolia",5572,358,"JavaScript"
"Antarctica",5470,71,"Python"
"Mauritius",4890,213,"JavaScript"
"Azerbaijan",4769,226,"JavaScript"
"Senegal",3807,160,"PHP"
"Bermuda",3785,136,"JavaScript"
"Trinidad and Tobago",3694,135,"JavaScript"
"Mali",3655,29,"JavaScript"
"Tanzania",3483,209,"PHP"
"Macao",3455,205,"JavaScript"
"Maldives",3371,120,"PHP"
"Bahrain",3201,199,"JavaScript"
"Albania",3154,114,"PHP"
"Kuwait",3133,223,"JavaScript"
"Swaziland",3014,191,"JavaScript"
"Madagascar",2783,205,"JavaScript"
"Qatar",2478,226,"JavaScript"
"Ethiopia",2245,143,"JavaScript"
"Cameroon",2182,114,"JavaScript"
"Democratic Republic of the Congo",2155,71,"JavaScript"
"Gibraltar",2015,116,"JavaScript"
"Montserrat",1820,84,"JavaScript"
"Guadeloupe",1713,113,"Shell"
"Tajikistan",1665,128,"JavaScript"
"Jersey",1522,81,"JavaScript"
"Palestinian Territory",1499,67,"JavaScript"
"Curacao",1477,37,"PHP"
"Liechtenstein",1421,43,"JavaScript"
"Zambia",1222,83,"PHP"
"Namibia",1202,57,"C"
"Isle of Man",1076,70,"JavaScript"
"Libya",1038,54,"JavaScript"
"Faroe Islands",1032,39,"JavaScript"
"New Caledonia",1020,50,"JavaScript"
"Reunion",1018,54,"JavaScript"
"Iraq",990,71,"Java"
"Zimbabwe",935,94,"JavaScript"
"Afghanistan",889,44,"JavaScript"
"Barbados",843,70,"JavaScript"
"Monaco",821,34,"JavaScript"
"Saint Kitts and Nevis",703,10,"Haskell"
"Kosovo",677,66,"PHP"
"Fiji",613,31,"JavaScript"
"Anguilla",570,11,"JavaScript"
"Bhutan",539,39,"JavaScript"
"Oman",525,62,"JavaScript"
"San Marino",518,27,"JavaScript"
"Kiribati",514,2,"JavaScript"
"Mozambique",493,53,"Java"
"Yemen",478,33,"JavaScript"
"Montenegro",475,56,"JavaScript"
"Ivory Coast",473,61,"JavaScript"
"Guyana",455,24,"JavaScript"
"Martinique",445,34,"JavaScript"
"Cape Verde",438,59,"Ruby"
"Guernsey",430,30,"JavaScript"
"Haiti",428,60,"JavaScript"
"Angola",420,42,"JavaScript"
"Belize",382,34,"Python"
"Botswana",320,37,"PHP"
"Norfolk Island",308,20,"JavaScript"
"Andorra",282,27,"JavaScript"
"Brunei",252,15,"JavaScript"
"Equatorial Guinea",245,4,"PHP"
"Niue",227,4,"C#"
"Grenada",213,32,"PHP"
"Dominica",205,23,"JavaScript"
"Mayotte",195,23,"C++"
"Turks and Caicos Islands",188,7,"Objective-C"
"Cayman Islands",187,29,"Python"
"Burundi",172,9,"Java"
"Sudan",166,37,"JavaScript"
"British Indian Ocean Territory",164,4,"Objective-C"
"Guam",158,16,"CSS"
"Christmas Island",153,2,"Shell"
"Lesotho",134,26,"JavaScript"
"Chad",134,9,"CSS"
"Vatican",132,5,"Ruby"
"French Polynesia",125,13,"C#"
"Bouvet Island",121,1,"Python"
"Laos",120,25,"PHP"
"Marshall Islands",116,6,"C++"
"Bahamas",115,25,"JavaScript"
"Somalia",96,7,"Python"
"Turkmenistan",93,20,"Ruby"
"Sint Maarten",84,7,"Ruby"
"Burkina Faso",83,23,"JavaScript"
"Aland Islands",75,3,"Python"
"Gambia",57,9,"Java"
"South Sudan",53,8,"Java"
"Guinea-Bissau",53,6,"PHP"
"Svalbard and Jan Mayen",51,3,"C"
"Serbia and Montenegro",50,7,"Java"
"Solomon Islands",42,2,"C++"
"Saint Lucia",35,6,"Java"
"Antigua and Barbuda",34,4,"JavaScript"
"Northern Mariana Islands",27,6,"PHP"
"Vanuatu",26,9,"JavaScript"
"Cocos Islands",26,3,"C"
"British Virgin Islands",26,3,"JavaScript"
"French Guiana",26,7,"C#"
"Djibouti",26,3,"CoffeeScript"
"North Korea",24,8,"Java"
"Tonga",24,6,"Ruby"
"U.S. Virgin Islands",24,4,"CoffeeScript"
"Greenland",22,7,"CSS"
"Liberia",18,13,"JavaScript"
"East Timor",10,1,"Ruby"
"Saint Vincent and the Grenadines",9,4,"C"
"Togo",9,5,"Python"
"Micronesia",7,1,"Java"
"Mauritania",6,5,"PHP"
"Guinea",5,3,"Python"
"Papua New Guinea",4,3,"JavaScript"
"Sao Tome and Principe",4,2,"JavaScript"
"Samoa",3,2,"C++"
"Republic of the Congo",3,2,"VimL"
"Aruba",2,2,"R"
"Gabon",2,1,"Java"
